State,"Car, truck, or van (carpool)","Car, truck, or van (alone)",Public transportation (excluding taxicab),Walked,Bicycle,"Taxicab, motorcycle, or other means"
Alaska,80.3,68,1.2,7.8,1.2,4.2
Maine,87.7,77.8,0.6,4.1,0.5,1.2
North Carolina,90,80.6,1,1.8,0.2,1.1
Missouri,90.7,82.2,1.3,2,0.2,1
Pennsylvania,84,75.6,5.8,3.5,0.4,1.1
Michigan,90.9,82,1.4,2.3,0.4,0.9
Nebraska,90.8,82.1,0.6,2.5,0.3,0.8
Oregon,81.2,71.7,4.2,3.9,2,1.2
Wyoming,85.9,75.8,1.2,4.3,1.1,1.2
California,83.8,73.8,4.9,2.6,0.9,1.7
Mississippi,94.4,85.5,0.3,1.4,0.1,1.2
Connecticut,86.1,77.9,4.4,2.6,0.2,1
Texas,90.5,80.7,1.3,1.5,0.2,1.3
Idaho,88.7,79.7,0.8,2.5,0.8,1.1
Maryland,83.2,74.3,7.9,2.1,0.3,1.3
New Mexico,90.5,79.3,1.1,1.8,0.6,1
Alabama,94.2,86.3,0.3,1.1,0.1,0.9
Tennessee,92,83.1,0.6,1.3,0.1,1.2
Vermont,84.4,75.4,0.9,5.2,1.3,0.8
Nevada,88.7,78.3,2.9,1.8,0.2,2.2
West Virginia,91.8,83.3,0.9,2.6,0.1,1.1
Oklahoma,92,82.5,0.5,2,0.2,1.2
Wisconsin,89.2,81.7,1.5,2.9,0.7,0.9
Puerto Rico,92.1,84.2,1.8,2.1,0.3,1.5
Kansas,91.3,82,0.5,2.2,0.3,1
Virginia,85.8,76.7,4.5,2.2,0.4,1.4
North Dakota,90.9,82.2,0.7,3.4,0.2,1
New Jersey,79,70.9,11.7,2.6,0.3,1.8
Ohio,90.6,82.4,1.6,2.2,0.3,0.9
South Carolina,90.9,81.4,0.6,2.1,0.2,1.3
Georgia,88.8,79.4,2,1.5,0.2,1.6
Colorado,83.5,74.9,2.8,3,1.2,1
Hawaii,82,67.3,5.7,3.7,0.7,2.6
South Dakota,89.8,81.1,0.2,2.8,0.3,0.6
Indiana,91.8,82.9,0.9,1.9,0.4,1.1
Kentucky,91.8,82.4,1,2,0.1,1.1
Louisiana,91.8,82.7,1.2,1.8,0.5,1.4
Washington,80.7,71,7,3.7,0.9,1.2
Illinois,80.9,72.7,9.4,2.8,0.6,1.1
Iowa,89.7,81.6,1,3,0.4,0.8
New Hampshire,88.2,80.8,0.9,2.6,0.3,1.2
Rhode Island,89.4,81.3,2.2,3.4,0.3,0.9
Arkansas,93.1,82.6,0.4,1.5,0.2,1.1
Delaware,88.7,79.6,2.2,2.4,0.3,0.8
Minnesota,86.1,77.7,3.5,2.8,0.6,0.9
Montana,84.4,74.9,0.8,5.5,1.2,0.9
Arizona,87.1,76.1,1.7,1.7,0.8,1.9
Florida,88.4,79.1,1.7,1.4,0.6,1.7
Massachusetts,77.2,69.8,10.2,5.1,0.9,1.3
District of Columbia,39.3,34.2,34.4,13.3,4.3,2.5
Utah,86.9,75.7,2.2,2.4,0.7,1
New York,59.4,53.1,28,6,0.7,1.4
